CompetitorId;CompetitorName;FirstName;LastName;Gender;Age;CountryCode;RegionId;RegionalName;Profession;Height_cm;Weight_kg;AffiliateId;AffiliateName;DivisionId;RegionName;RegionCode;RegionalCode;Status;TeamCaptain;CountryOfOriginCode;BackSquat_kg;CleanAndJerk_kg;Snatch_kg;DeadLift_kg;FightGoneBad;MaxPullUps;Fran;Grace;Helen;Filthy50;Sprint400m;Rn5k
124786;Reilly Smith;Reilly;Smith;M;22;AU;32;All;0;185;90;null;null;01;Australasia;Australasia;Australasia;ACT;0;AU;185;145;113;210;--;--;2:32;1:58;--;--;--;--
233855;Joao Ferreira;Joao;Ferreira;M;23;PT;32;All;0;171;82;null;null;01;Europe South;Europe South;Europe South;ACT;0;PT;180;143;116;221;456;--;2:27;1:31;--;--;--;--
730223;Uriel Bloch;Uriel;Bloch;M;30;AR;32;All;0;172;73;null;null;01;South America;South America;South America;ACT;0;AR;175;140;106;215;--;--;2:16;1:39;--;--;--;--
156719;ZA Anderson;ZA;Anderson;M;29;US;32;All;0;187.42;102.0582;null;null;01;South East;South East;South East;ACT;0;US;--;--;--;--;--;--;--;--;--;--;--;--
546254;Batuque Iribarren;Batuque;Iribarren;M;31;AR;32;All;0;178;89;null;null;01;South America;South America;South America;ACT;0;AR;200;140;120;230;--;65;2:06;1:57;7:25;--;--;19:47
315419;Ryan Reeves;Ryan;Reeves;M;22;US;32;All;0;185.42;92.98636;null;null;01;Mid Atlantic;Mid Atlantic;Mid Atlantic;ACT;0;US;210.92029;161.02516;131.54169;231.33192;--;32;2:15;1:26;8:36;15:53;1:11;--
141285;Harry Debenham;Harry;Debenham;M;22;AU;32;All;0;180;84;null;null;01;Australasia;Australasia;Australasia;ACT;0;AU;180;140;115;230;--;--;2:25;1:35;--;--;--;--
487949;Mohamed Elomda;Mohamed;Elomda;M;30;EG;32;All;0;180;94;null;null;01;Africa Middle East;Africa Middle East;Africa Middle East;ACT;0;EG;174.63292;140.61353;111.13004;249.4756;--;62;2:31;1:15;--;--;--;17:13
202638;Royce Dunne;Royce;Dunne;M;27;AU;32;All;0;183;102;null;null;01;Australasia;Australasia;Australasia;ACT;0;AU;224.52805;165.56108;136.0776;259.9082;--;60;2:07;1:30;7:32;--;1:03;--
252488;Stefano Di Francesco;Stefano;Di Francesco;M;24;IT;32;All;0;172;79;null;null;01;Europe South;Europe South;Europe South;ACT;0;IT;190;145;121;220;--;--;2:10;1:10;7:34;--;1:00;--
776650;Lucas Almeida;Lucas;Almeida;M;26;BR;32;All;0;170;77;null;null;01;South America;South America;South America;ACT;0;BR;;;;;;;;;;;;
245529;Logan Southard;Logan;Southard;M;23;US;32;All;0;132.45999;52.163082;null;null;01;South East;South East;South East;ACT;0;US;192.7766;142.88148;120.20188;215.4562;356;50;2:47;2:04;7:37;19:54;--;20:07
252132;Sebastian Calabro;Sebastian;Calabro;M;30;AR;32;All;0;169;83.91452;null;null;01;South America;South America;South America;ACT;0;AR;--;--;--;--;--;--;--;--;--;--;--;--
20633;Christopher Clyde;Christopher;Clyde;M;31;US;32;All;0;185.42;97.52228;null;null;01;Mid Atlantic;Mid Atlantic;Mid Atlantic;ACT;0;US;--;--;--;--;--;--;--;--;--;--;--;--
194698;Yavuz Senturk;Yavuz;Senturk;M;28;AE;32;All;0;173;79.83219;null;null;01;Africa Middle East;Africa Middle East;Africa Middle East;ACT;0;AE;--;131.54169;102.0582;--;--;76;2:05;--;--;--;--;--
122118;Nathan Horner;Nathan;Horner;M;28;AU;32;All;0;171;86;null;null;01;Australasia;Australasia;Australasia;ACT;0;AU;185;128;105;220;419;50;--;--;--;--;--;23:00
169650;Lucas Rosa;Lucas;Rosa;M;22;BR;32;All;0;184;90;null;null;01;South America;South America;South America;ACT;0;BR;129.27373;129.27373;97.52228;231.33192;--;77;2:27;2:01;--;--;--;21:30
423302;Sam Lubben;Sam;Lubben;M;21;ES;32;All;0;184;91;null;null;01;Europe South;Europe South;Europe South;ACT;0;ES;215;165;137;233;--;--;2:10;1:07;--;--;--;--
175226;Braeden Stubblefield;Braeden;Stubblefield;M;22;US;32;All;0;2.54;86.18248;null;null;01;South East;South East;South East;ACT;0;US;--;--;--;--;--;--;--;--;--;--;--;--
7582;Michael Mikaere;Michael;Mikaere;M;27;NZ;32;All;0;178;88;null;null;01;Australasia;Australasia;Australasia;ACT;0;NZ;185;140;125;250;--;--;2:34;--;7:22;--;--;--
551398;Scott Giuliano;Scott;Giuliano;M;24;US;32;All;0;164.93999;88.45044;null;null;01;Mid Atlantic;Mid Atlantic;Mid Atlantic;ACT;0;US;188.24068;161.02516;133.80965;215.4562;--;--;2:17;1:25;--;--;--;--
107931;Gilson Duarte;Gilson;Duarte;M;27;BR;32;All;0;165;73.4819;null;null;01;South America;South America;South America;ACT;0;BR;179.62244;138.34557;111.13004;219.99213;--;--;2:22;--;--;--;--;22:00
258151;Jake Douglas;Jake;Douglas;M;27;AU;32;All;0;172;91.62559;null;null;01;Australasia;Australasia;Australasia;ACT;0;AU;--;--;--;--;--;--;--;--;--;--;--;--
263172;AJ Visser;AJ;Visser;M;32;ZA;32;All;0;180;84;null;null;01;Africa Middle East;Africa Middle East;Africa Middle East;ACT;0;ZA;180;142;120;215;--;52;2:21;1:58;7:08;--;0:55;--
182502;Fabio Dechichi;Fabio;Dechichi;M;28;BR;32;All;0;176;79.83219;null;null;01;South America;South America;South America;ACT;0;BR;170;140;112;215;--;50;2:31;1:46;7:55;--;1:00;--
315266;Amin Attallah;Amin;Attallah;M;24;JO;32;All;0;171;80;null;null;01;Africa Middle East;Africa Middle East;Africa Middle East;ACT;0;JO;165.56108;142.88148;115.66596;183.70476;--;60;2:33;--;--;--;--;--
179979;Dillon Bailey;Dillon;Bailey;M;26;US;32;All;0;164.93999;87.99685;null;null;01;South East;South East;South East;ACT;0;US;192.7766;142.88148;115.66596;226.796;424;73;--;2:05;--;19:53;1:03;19:30
242406;Hugo Leighton;Hugo;Leighton;M;23;AU;32;All;0;170;78.92501;null;null;01;Australasia;Australasia;Australasia;ACT;0;AU;182;146;120;220;--;51;2:08;1:28;7:37;--;--;--
306121;Grayson Schiphorst;Grayson;Schiphorst;M;28;NZ;32;All;0;181;102;null;null;01;Australasia;Australasia;Australasia;ACT;0;NZ;--;--;--;--;--;--;--;--;--;--;--;--
39754;Daniel Petro;Daniel;Petro;M;30;US;32;All;0;165.93999;95.25432;null;null;01;South East;South East;South East;ACT;0;US;219.99213;149.68536;129.27373;251.74356;--;65;2:01;1:21;7:15;--;--;--
283866;Pablo Chalfun;Pablo;Chalfun;M;25;BR;32;All;0;173;88;null;null;01;South America;South America;South America;ACT;0;BR;194.13737;138.34557;--;--;--;--;2:13;--;--;--;--;--
108126;David Ben David;David Ben;David;M;27;IL;32;All;0;178;85;null;null;01;Africa Middle East;Africa Middle East;Africa Middle East;ACT;0;IL;204.1164;149.68536;124.7378;244.93968;--;60;2:22;1:50;6:29;18:32;--;--
