CompetitorId;CompetitorName;FirstName;LastName;Gender;Age;CountryCode;RegionId;RegionalName;Profession;Height_cm;Weight_kg;AffiliateId;AffiliateName;DivisionId;RegionName;RegionCode;RegionalCode;TeamCaptain;CountryOfOriginCode;BackSquat_kg;CleanAndJerk_kg;Snatch_kg;DeadLift_kg;FightGoneBad;MaxPullUps;Fran;Grace;Helen;Filthy50;Sprint400m;Rn5k
239442;Emma McQuaid;Emma;McQuaid;F;29;null;0;null;0;159.93999;63.95647;44667;CrossFit Berserk;02;;;;0;IE;120;100;86;150;--;60;2:17;2:12;--;--;--;--
258629;Thelma Christoforou;Thelma;Christoforou;F;32;null;0;null;0;160.93999;64.863655;44668;CrossFit Limassol;02;;;;0;CY;--;--;--;--;--;--;--;--;--;--;--;--
238026;Anastasiya Ganina;Anastasiya;Ganina;F;34;null;0;null;0;161.93999;68.945984;44670;CrossFit 19.05;02;;;;0;RU;127;95;75;130;--;50;2:42;--;--;--;1:09;21:50
248235;Leonie Henrich;Leonie;Henrich;F;25;null;0;null;0;161.93999;71.21394;44671;CrossFit Punt Uit;02;;;;0;NL;120;105;92;170;--;--;--;--;--;--;--;--
2536;Samantha Briggs;Samantha;Briggs;F;37;null;0;null;0;161.93999;61.23492;44674;CrossFit Black Five;02;;;;0;GB;125;100;82;175;--;49;2:35;1:35;--;--;--;--
382954;Sara Pinto;Sara;Pinto;F;30;null;0;null;0;158.93999;60.78133;44675;CrossFit Feira;02;;;;0;PT;--;--;--;--;--;--;--;--;--;--;--;--
106999;Jessica Sanki;Jessica;Sanki;F;38;null;0;null;0;159.93999;65.77084;44678;Reebok CrossFit Louvre;02;;;;0;TN;119.74829;83.91452;66.678024;129.27373;307;50;3:00;3:14;--;--;--;25:27
695821;Julie Hougård;Julie;Hougård;F;27;null;0;null;0;162.93999;68.0388;44679;Lofteriet CrossFit;02;;;;0;DK;--;--;--;--;--;--;--;--;--;--;--;--
663979;Sona Karaskova;Sona;Karaskova;F;31;null;0;null;0;160.93999;72.12113;44666;CrossFit With Us;02;;;;0;CZ;--;--;--;--;--;--;--;--;--;--;--;--
768482;Amal Alshahrani;Amal;Alshahrani;F;34;null;0;null;0;159.93999;69.853165;44682;CrossFit AlKhobar;02;;;;0;SA;111.13004;71.667534;54.43104;111.13004;--;7;5:30;4:45;18:40;16:00;2:10;28:00
227678;Vanessa Wagner;Vanessa;Wagner;F;28;null;0;null;0;161.93999;64.863655;null;null;02;;;;0;AT;--;--;--;--;--;--;--;--;--;--;--;--
156732;Ganna Almazova;Ganna;Almazova;F;32;null;0;null;0;159.93999;63.04929;44686;CrossFit October;02;;;;0;UA;108;85;65;150;--;50;2:12;--;--;--;--;--
419506;Dema Al Zebdieh;Dema;Al Zebdieh;F;33;null;0;null;0;163.93999;73.93549;44638;CrossFit 962;02;;;;0;JO;--;--;--;--;--;--;--;--;--;--;--;--
591912;Laura Horvath;Laura;Horvath;F;22;null;0;null;0;161.93999;68.945984;44659;CrossFit BBros;02;;;;0;HU;--;--;--;--;--;--;--;--;--;--;--;--
215510;Ralitza Koterlitzova;Ralitza;Koterlitzova;F;30;null;0;null;0;157.93999;61.23492;44692;CrossFit Valeo;02;;;;0;BG;120.20188;95.25432;72.57472;129.27373;327;40;2:38;--;--;--;--;23:19
1169213;Danielle Shanine;Danielle;Shanine;F;26;null;0;null;0;156.93999;57.606186;44694;CrossFit 309;02;;;;0;LB;--;--;--;--;--;--;--;--;--;--;--;--
2088;Camilla Salomonsson Hellman;Camilla;Salomonsson Hellman;F;28;null;0;null;0;159.93999;67.585205;null;null;02;;;;0;SE;143;105;80;160;--;--;2:45;1:20;--;--;--;--
498697;Pasent Medhat;Pasent;Medhat;F;31;null;0;null;0;156.93999;58.059776;44697;CrossFit Engine 38;02;;;;0;OM;--;--;--;--;--;--;--;--;--;--;--;--
683201;Krista Kraskura;Krista;Kraskura;F;27;null;0;null;0;162.93999;65.77084;null;null;02;;;;0;LV;--;--;--;--;--;--;--;--;--;--;--;--
1192351;Aya Fouad;Aya;Fouad;F;25;null;0;null;0;155.93999;59.874146;44703;CrossFit Tycoons;02;;;;0;EG;--;--;--;--;--;--;--;--;--;--;--;--
345836;Victoria Frascolla;Victoria;Frascolla;F;28;null;0;null;0;159.93999;59.874146;44706;CrossFit Del Sur;02;;;;0;UY;--;--;--;--;--;--;--;--;--;--;--;--
1131171;Delice Adonis;Delice;Adonis;F;21;null;0;null;0;161.93999;66.678024;44709;CrossFit 592;02;;;;0;GY;113.398;74.84268;61.23492;136.0776;--;15;--;4:07;--;--;1:31;--
1055578;Akiko Kamitani;Akiko;Kamitani;F;30;null;0;null;0;155.93999;52.163082;44710;CrossFit Minatomirai;02;;;;0;JP;102.0582;65.77084;54.43104;111.13004;--;--;--;--;--;--;--;--
280553;Chanelle Munroe;Chanelle;Munroe;F;41;null;0;null;0;158.93999;73.4819;44714;CrossFit Potcake;02;;;;0;BS;--;--;--;--;--;--;--;--;--;--;--;--
451905;Amira Ayob;Amira;Ayob;F;28;null;0;null;0;155.93999;53.977448;null;null;02;;;;0;MY;--;--;--;--;--;--;--;--;--;--;--;--
899345;Citra Ramaniya;Citra;Ramaniya;F;36;null;0;null;0;156.93999;58.059776;44716;CrossFit Limburg;02;;;;0;ID;90;72;53;118;--;--;3:15;--;--;--;--;--
252900;Anna Fragkou;Anna;Fragkou;F;29;null;0;null;0;157.93999;63.04929;44717;CrossFit Kallithea;02;;;;0;GR;--;--;--;--;--;--;--;--;--;--;--;--
893571;Tsai-Jui Hung;Tsai-Jui;Hung;F;26;null;0;null;0;158.93999;63.04929;44718;CrossFit X Ray;02;;;;0;CN;--;--;--;--;--;--;--;--;--;--;--;--
978472;Fernanda Saavedra;Fernanda;Saavedra;F;26;null;0;null;0;157.93999;63.50288;44720;Freakin CrossFit;02;;;;0;NI;--;--;--;--;--;--;--;--;--;--;--;--
671666;Haley Adams;Haley;Adams;F;18;null;0;null;0;160.93999;64.863655;44632;CrossFit Mayhem;02;;;;0;US;115.66596;92.98636;79.3786;136.0776;--;--;--;--;--;--;--;20:04
