CompetitorId;CompetitorName;FirstName;LastName;Gender;Age;CountryCode;RegionId;RegionalName;Profession;Height_cm;Weight_kg;AffiliateId;AffiliateName;DivisionId;RegionName;RegionCode;RegionalCode;Status;TeamCaptain;CountryOfOriginCode;BackSquat_kg;CleanAndJerk_kg;Snatch_kg;DeadLift_kg;FightGoneBad;MaxPullUps;Fran;Grace;Helen;Filthy50;Sprint400m;Rn5k
477709;Courtney Haley;Courtney;Haley;F;23;AU;32;All;0;165;69;null;null;02;Australasia;Australasia;Australasia;ACT;0;AU;125;97;80;145;382;51;2:33;2:04;--;19:25;1:05;22:30
841247;Andreia Pinheiro;Andreia;Pinheiro;F;35;BR;32;All;0;161.93999;69.853165;null;null;02;South America;South America;South America;ACT;0;BR;120;90;45;120;--;42;2:50;2:41;--;--;--;--
249631;Jaimie Byerly;Jaimie;Byerly;F;28;US;32;All;0;159.93999;64.863655;null;null;02;Mid Atlantic;Mid Atlantic;Mid Atlantic;ACT;0;US;124.7378;102.0582;81.64656;147.4174;325;--;--;1:59;--;17:52;--;--
140531;matilde orlandoni;matilde;orlandoni;F;30;IT;32;All;0;155;57;null;null;02;Europe South;Europe South;Europe South;ACT;0;IT;--;--;--;--;--;--;--;--;--;--;--;--
926594;Katherine Bogantes Chaves;Katherine;Bogantes Chaves;F;27;CR;32;All;0;157;63;null;null;02;Central America;Central America;Central America;ACT;0;CR;--;--;--;--;--;--;--;--;--;--;--;--
503411;Nikita-Jenna Van Rooyen;Nikita-Jenna;Van Rooyen;F;25;ZA;32;All;0;152;61;null;null;02;Africa Middle East;Africa Middle East;Africa Middle East;ACT;0;ZA;--;--;--;--;--;--;--;--;--;--;--;--
96575;Samantha Drescher;Samantha;Drescher;F;26;AU;32;All;0;183;74.84268;null;null;02;Australasia;Australasia;Australasia;ACT;0;AU;145;105;88;160;440;40;3:00;1:40;--;--;--;--
40480;Mayra Brandt;Mayra;Brandt;F;38;US;32;All;0;161.93999;70.30676;null;null;02;South East;South East;South East;ACT;0;US;136.0776;104.779755;88.45044;--;394;--;2:23;1:33;--;--;--;23:12
113169;Megan O'Donnell;Megan;O'Donnell;F;29;US;32;All;0;158.93999;68.0388;null;null;02;Mid Atlantic;Mid Atlantic;Mid Atlantic;ACT;0;US;138.34557;102.0582;77.11064;147.4174;--;--;--;--;--;--;--;--
943255;Luana Soares;Luana;Soares;F;27;BR;32;All;0;184;90;null;null;02;South America;South America;South America;ACT;0;BR;180;135;105;190;--;--;--;--;--;--;1:33;--
501638;Ashleigh Corby;Ashleigh;Corby;F;28;AU;32;All;0;152;56;null;null;02;Australasia;Australasia;Australasia;ACT;0;AU;122;86;67;155;--;--;--;2:00;--;--;--;22:39
214598;Michaela Palova;Michaela;Palova;F;28;IT;32;All;0;169;66.224434;null;null;02;Europe South;Europe South;Europe South;ACT;0;IT;120;80;75;155;--;--;3:54;1:41;--;--;0:57;--
110783;Mary Jamieson;Mary;Jamieson;F;35;ZA;32;All;0;0;74.84268;null;null;02;Africa Middle East;Africa Middle East;Africa Middle East;ACT;0;ZA;51;25;130;66;--;1;--;--;--;--;--;--
216633;Camila Gonzalez;Camila;Gonzalez;F;28;CR;32;All;0;168;63.50288;null;null;02;Central America;Central America;Central America;ACT;0;CR;102.0582;83.91452;68.0388;120.20188;--;30;3:17;2:59;--;--;--;--
276263;Kimberlee DeKrey;Kimberlee;DeKrey;F;27;US;32;All;0;162.93999;69.399574;null;null;02;South East;South East;South East;ACT;0;US;115.66596;86.18248;72.57472;136.0776;--;--;--;--;--;--;--;--
503203;Emma Wright;Emma;Wright;F;26;NZ;32;All;0;165;69;null;null;02;Australasia;Australasia;Australasia;ACT;0;NZ;--;--;--;--;--;--;--;--;--;--;--;--
4749;Morgan Schaeffer;Morgan;Schaeffer;F;27;NZ;32;All;0;156.93999;67;null;null;02;Australasia;Australasia;Australasia;ACT;0;NZ;110;85;75;140;--;--;3:00;2:58;--;--;--;--
775167;Rosana Prado;Rosana;Prado;F;29;BR;32;All;0;4.54;69;null;null;02;South America;South America;South America;ACT;0;BR;115;85;65;140;--;--;--;3:33;--;--;--;--
527011;Lisa Eble;Lisa;Eble;F;27;CH;32;All;0;160;65.77084;null;null;02;Europe South;Europe South;Europe South;ACT;0;CH;119;100;80;155;--;--;--;--;--;--;--;--
671666;Haley Adams;Haley;Adams;F;17;US;32;All;0;160.93999;58.96696;null;null;02;Mid Atlantic;Mid Atlantic;Mid Atlantic;ACT;0;US;115.66596;92.98636;79.3786;136.0776;--;--;--;--;--;--;--;20:04
243517;Tata Rebane;Tata;Rebane;F;36;BR;32;All;0;161.93999;73.02831;null;null;02;South America;South America;South America;ACT;0;BR;160;110;80;180;--;--;2:42;2:00;9:17;--;--;--
104651;Isabelle Gosling;Isabelle;Gosling;F;23;AU;32;All;0;160;65;null;null;02;Australasia;Australasia;Australasia;ACT;0;AU;130;100;81;134;--;--;--;--;--;--;--;--
586471;Jess Towl;Jess;Towl;F;31;AE;32;All;0;178;70;null;null;02;Africa Middle East;Africa Middle East;Africa Middle East;ACT;0;AE;115;90;73;162;--;--;--;2:16;--;--;1:06;18:17
75727;Chassity Martin;Chassity;Martin;F;33;US;32;All;0;158.93999;62.595695;null;null;02;Mid Atlantic;Mid Atlantic;Mid Atlantic;ACT;0;US;108.86208;92.98636;74.84268;136.0776;--;--;--;--;--;--;--;--
507096;Liliana Orjuela;Liliana;Orjuela;F;33;AR;32;All;0;163;63;null;null;02;South America;South America;South America;ACT;0;AR;--;--;--;--;--;--;--;--;--;--;--;--
120538;Eva Cortiella;Eva;Cortiella;F;35;ES;32;All;0;156.93999;58.96696;null;null;02;Europe South;Europe South;Europe South;ACT;0;ES;100;80;60;160;--;--;--;--;--;--;--;--
10886;Sammy Wood;Sammy;Wood;F;30;AU;32;All;0;165;68;null;null;02;Australasia;Australasia;Australasia;ACT;0;AU;131.54169;106.594124;92.98636;158.7572;--;50;2:32;1:18;--;--;--;--
544235;Elizabeth Bradley;Elizabeth;Bradley;F;22;US;32;All;0;156.93999;63.50288;null;null;02;South East;South East;South East;ACT;0;US;--;--;--;--;--;--;--;--;--;--;--;--
514323;Briana Gongloff;Briana;Gongloff;F;27;US;32;All;0;158.93999;71.667534;null;null;02;Mid Atlantic;Mid Atlantic;Mid Atlantic;ACT;0;US;142.88148;108.86208;88.45044;145.14944;--;--;3:23;1:38;11:41;22:43;1:24;27:30
10736;Carrie Freestone;Carrie;Freestone;F;35;AE;32;All;0;156.93999;61.23492;null;null;02;Africa Middle East;Africa Middle East;Africa Middle East;ACT;0;AE;--;--;--;--;--;--;--;--;--;--;--;--
250929;Constanza Sepulveda;Constanza;Sepulveda;F;34;CL;32;All;0;160;61.23492;null;null;02;South America;South America;South America;ACT;0;CL;115.66596;79.3786;65.77084;136.0776;--;--;--;--;--;--;--;--
43198;Lindsay Vaughan;Lindsay;Vaughan;F;33;AU;32;All;0;162.93999;69;null;null;02;Australasia;Australasia;Australasia;ACT;0;AU;110;94;80;125;--;71;2:42;1:43;--;--;--;--
443180;Judit Torrabadella Boixaderas;Judit;Torrabadella Boixaderas;F;29;ES;32;All;0;165;63;null;null;02;Europe South;Europe South;Europe South;ACT;0;ES;70;--;--;70;--;--;--;--;--;--;--;--
343910;Gretchen Lee;Gretchen;Lee;F;29;US;32;All;0;162.93999;65.77084;null;null;02;Mid Atlantic;Mid Atlantic;Mid Atlantic;ACT;0;US;124.7378;95.25432;68.0388;138.34557;--;--;2:42;--;--;--;--;--
26129;Julieta Chapi;Julieta;Chapi;F;29;AR;32;All;0;163;60;null;null;02;South America;South America;South America;ACT;0;AR;--;--;--;--;--;--;--;--;--;--;--;--
101651;Joelene Neville;Joelene;Neville;F;32;NZ;32;All;0;169;72;null;null;02;Australasia;Australasia;Australasia;ACT;0;NZ;130;104;80;165;410;32;2:43;1:54;--;--;1:01;22:56
248499;Chris Schmidt;Chris;Schmidt;F;34;BR;32;All;0;161;68;null;null;02;South America;South America;South America;ACT;0;BR;--;--;--;--;--;--;--;--;--;--;--;--
2626;Jordan Christie;Jordan;Christie;F;26;US;32;All;0;159.93999;68.0388;null;null;02;South East;South East;South East;ACT;0;US;--;--;--;--;--;--;2:57;1:42;--;--;1:03;--
160364;Susana Lopez;Susana;Lopez;F;28;ES;32;All;0;162;64;null;null;02;Europe South;Europe South;Europe South;ACT;0;ES;130;92;68;150;--;40;2:23;1:15;--;--;1:10;21:30
117057;Jasmin Wood;Jasmin;Wood;F;27;AU;32;All;0;169;68;null;null;02;Australasia;Australasia;Australasia;ACT;0;AU;121;91.17199;70;135;--;--;--;1:56;--;--;--;--
143671;Whitney Stephenson;Whitney;Stephenson;F;30;US;32;All;0;162.93999;63.50288;null;null;02;South East;South East;South East;ACT;0;US;--;--;--;--;--;--;--;--;--;--;--;--
278208;Carmen Navarro;Carmen;Navarro;F;31;CL;32;All;0;4.54;57;null;null;02;South America;South America;South America;ACT;0;CL;--;--;--;--;--;--;--;--;--;--;--;23:02
289559;Johanni Taljaard;Johanni;Taljaard;F;33;ZA;32;All;0;156;58;null;null;02;Africa Middle East;Africa Middle East;Africa Middle East;ACT;0;ZA;135;97;81;135;--;50;2:26;--;--;--;1:10;28:30
101010;April Hering;April;Hering;F;26;AU;32;All;0;170;69;null;null;02;Australasia;Australasia;Australasia;ACT;0;AU;110;95;78;150;--;--;--;--;--;--;--;--
114798;Alice Tucker;Alice;Tucker;F;26;AU;32;All;0;170;64;null;null;02;Australasia;Australasia;Australasia;ACT;0;AU;--;--;--;--;--;--;--;--;--;--;--;--
635438;Simona Quintana;Simona;Quintana;F;22;CL;32;All;0;167;63;null;null;02;South America;South America;South America;ACT;0;CL;--;79.3786;--;--;--;--;3:02;--;--;--;--;19:25
475323;Nikita Dicks;Nikita;Dicks;F;29;US;32;All;0;156.93999;64.863655;null;null;02;South East;South East;South East;ACT;0;US;147.4174;108.86208;88.45044;183.70476;312;--;2:53;2:02;9:10;27:16;--;25:02
228615;Amnah Bahar;Amnah;Bahar;F;28;AE;32;All;0;165;70;null;null;02;Africa Middle East;Africa Middle East;Africa Middle East;ACT;0;AE;--;--;--;--;--;--;--;--;--;--;--;--
51602;Evelina Dalecki;Evelina;Dalecki;F;27;AU;32;All;0;152;59.874146;null;null;02;Australasia;Australasia;Australasia;ACT;0;AU;122;41.27687;32.205032;128;--;45;2:28;--;--;--;--;--
331790;Julia Glotz;Julia;Glotz;F;26;US;32;All;0;159.93999;65.77084;null;null;02;South East;South East;South East;ACT;0;US;147.4174;102.511795;87.54326;136.53119;--;--;--;--;--;--;--;--
424955;Jessica Vetter;Jessica;Vetter;F;33;FR;32;All;0;173;66;null;null;02;Europe South;Europe South;Europe South;ACT;0;FR;--;--;--;--;--;--;--;--;--;--;--;--
107619;Laken Watt;Laken;Watt;F;27;AU;32;All;0;157;60;null;null;02;Australasia;Australasia;Australasia;ACT;0;AU;110;82;61;130;--;--;2:29;--;8:43;--;--;22:31
238601;Monique Williams;Monique;Williams;F;27;US;32;All;0;158.93999;61.68851;null;null;02;South East;South East;South East;ACT;0;US;145.14944;106.594124;83.91452;183.70476;--;--;--;--;--;--;--;--
751083;Danila Capaccetti;Danila;Capaccetti;F;34;IT;32;All;0;170;71;null;null;02;Europe South;Europe South;Europe South;ACT;0;IT;140;105;83;145;--;45;2:13;1:33;--;--;--;--
